185.93.3.123	8080
163.172.220.221	8888
91.102.219.129	3128
109.74.142.138	53281
91.102.218.3	3128
197.14.14.234	80
221.120.218.98	45744
138.185.176.63	53281
200.150.79.18	3128
5.2.230.40	8080
91.90.191.238	8080
46.20.59.12	8080
94.75.126.241	8080
85.11.114.135	3128
138.0.24.66	53281
109.202.45.72	8080
89.165.218.82	47886
196.202.194.44	8888
154.73.65.130	54547
91.102.218.10	3128
92.39.129.114	30674
94.155.250.149	43007
91.102.217.129	3128
91.102.216.21	3128
42.115.91.82	52225
89.218.22.178	8080
185.128.104.89	8080
170.246.152.106	56838
109.74.61.104	35427
185.129.1.58	50313
185.128.104.33	8080
185.128.104.125	8080
43.225.170.199	23500
81.163.52.34	41258
178.168.67.89	4645
154.79.244.10	8888
190.8.168.252	8080
51.15.86.88	3128
95.130.14.2	3129
185.128.104.129	8080
185.158.127.9	53281
165.16.113.195	53281
62.122.23.56	42545
46.229.187.169	53281
185.128.104.73	8080
176.101.148.129	32949
118.140.162.190	44274
82.144.202.164	8080
139.5.26.27	53281
213.14.17.89	36127
